# seed | (motifHits, avgDiff, mapDiff)
131 | (67, 0.75,    {0: 0, 1: 27, 2: 50, 3: 1, 4: 2, 5: 4, 6: 1, 7: 15, 8: 2, 9: 4, 10: 2})
132 | (241, 0.50,   {0: 141, 1: 54, 2: 45, 3: 2, 4: 0, 5: 0, 6: 0, 7: 1, 8: 1, 9: 1, 10: 0})
133 | (146, 1.28,   {0: 1, 1: 1, 2: 92, 3: 46, 4: 2, 5: 1, 6: 1, 7: 7, 8: 6, 9: 5, 10: 4})
134 | (109, 0.11,   {0: 105, 1: 41, 2: 1, 3: 2, 4: 3, 5: 2, 6: 1, 7: 0, 8: 4, 9: 2, 10: 4})
135 | (186, 2.18,   {0: 0, 1: 81, 2: 0, 3: 94, 4: 91, 5: 0, 6: 0, 7: 0, 8: 1, 9: 1, 10: 1})
136 | (283, 3.11,   {0: 87, 1: 0, 2: 0, 3: 0, 4: 49, 5: 146, 6: 0, 7: 0, 8: 2, 9: 0, 10: 1})
137 | (194, 2.51,   {0: 0, 1: 19, 2: 44, 3: 46, 4: 57, 5: 3, 6: 49, 7: 1, 8: 2, 9: 1, 10: 4})
138 | (283, 2.33,   {0: 0, 1: 146, 2: 44, 3: 0, 4: 0, 5: 93, 6: 0, 7: 1, 8: 1, 9: 1, 10: 0})
139 | (111, 1.83,   {0: 3, 1: 7, 2: 0, 3: 2, 4: 1, 5: 107, 6: 3, 7: 4, 8: 4, 9: 5, 10: 2})
140 | (15, 0.38,    {0: 0, 1: 1, 2: 7, 3: 2, 4: 1, 5: 1, 6: 4, 7: 11, 8: 4, 9: 10, 10: 5})
141 | (288, 1.27,   {0: 90, 1: 138, 2: 0, 3: 0, 4: 59, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
142 | (225, 1.12,   {0: 81, 1: 19, 2: 93, 3: 0, 4: 33, 5: 1, 6: 2, 7: 2, 8: 0, 9: 1, 10: 2})
143 | (249, 1.75,   {0: 93, 1: 0, 2: 57, 3: 0, 4: 95, 5: 0, 6: 1, 7: 0, 8: 5, 9: 1, 10: 2})
144 | (6, 0.14,     {0: 1, 1: 1, 2: 3, 3: 4, 4: 3, 5: 4, 6: 3, 7: 7, 8: 8, 9: 7, 10: 8})
145 | (187, 1.04,   {0: 42, 1: 38, 2: 58, 3: 49, 4: 1, 5: 5, 6: 0, 7: 1, 8: 0, 9: 3, 10: 0})
146 | (288, 1.74,   {0: 90, 1: 38, 2: 56, 3: 46, 4: 57, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
147 | (289, 2.48,   {0: 91, 1: 0, 2: 0, 3: 104, 4: 37, 5: 57, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0})
148 | (131, 1.39,   {0: 0, 1: 34, 2: 40, 3: 0, 4: 0, 5: 51, 6: 3, 7: 4, 8: 3, 9: 5, 10: 3})
149 | (235, 3.19,   {0: 0, 1: 0, 2: 0, 3: 90, 4: 65, 5: 69, 6: 0, 7: 6, 8: 6, 9: 1, 10: 1})
150 | (193, 2.27,   {0: 0, 1: 70, 2: 0, 3: 3, 4: 120, 5: 32, 6: 0, 7: 2, 8: 3, 9: 1, 10: 2})
151 | (120, 1.46,   {0: 0, 1: 80, 2: 0, 3: 71, 4: 1, 5: 0, 6: 13, 7: 11, 8: 2, 9: 7, 10: 2})
152 | (232, 1.89,   {0: 101, 1: 0, 2: 0, 3: 52, 4: 4, 5: 76, 6: 2, 7: 3, 8: 2, 9: 3, 10: 2})
153 | (120, 0.22,   {0: 78, 1: 133, 2: 6, 3: 0, 4: 0, 5: 0, 6: 1, 7: 3, 8: 1, 9: 0, 10: 4})
154 | (237, 3.26,   {0: 0, 1: 51, 2: 0, 3: 0, 4: 36, 5: 124, 6: 23, 7: 2, 8: 3, 9: 3, 10: 2})
155 | (270, 2.73,   {0: 0, 1: 0, 2: 84, 3: 95, 4: 90, 5: 2, 6: 0, 7: 0, 8: 2, 9: 0, 10: 1})
156 | (15, 0.34,    {0: 0, 1: 0, 2: 0, 3: 5, 4: 6, 5: 2, 6: 6, 7: 10, 8: 1, 9: 9, 10: 11})
157 | (268, 1.82,   {0: 96, 1: 78, 2: 0, 3: 0, 4: 1, 5: 94, 6: 0, 7: 0, 8: 2, 9: 0, 10: 1})
158 | (227, 3.35,   {0: 0, 1: 0, 2: 0, 3: 59, 4: 34, 5: 126, 6: 0, 7: 8, 8: 1, 9: 3, 10: 1})
159 | (260, 2.91,   {0: 0, 1: 1, 2: 87, 3: 57, 4: 86, 5: 0, 6: 31, 7: 1, 8: 2, 9: 0, 10: 1})
160 | (259, 3.66,   {0: 0, 1: 0, 2: 0, 3: 57, 4: 91, 5: 104, 6: 6, 7: 0, 8: 0, 9: 1, 10: 1})
161 | (280, 0.97,   {0: 89, 1: 91, 2: 100, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1, 8: 0, 9: 0, 10: 1})
162 | (89, 0.82,    {0: 0, 1: 63, 2: 0, 3: 0, 4: 50, 5: 3, 6: 1, 7: 5, 8: 4, 9: 3, 10: 8})
163 | (188, 3.16,   {0: 0, 1: 0, 2: 2, 3: 1, 4: 45, 5: 97, 6: 44, 7: 3, 8: 1, 9: 2, 10: 4})
164 | (103, 0.91,   {0: 0, 1: 56, 2: 57, 3: 42, 4: 0, 5: 0, 6: 1, 7: 0, 8: 6, 9: 2, 10: 3})
165 | (209, 1.2,    {0: 101, 1: 9, 2: 38, 3: 3, 4: 69, 5: 3, 6: 0, 7: 0, 8: 3, 9: 0, 10: 1})
166 | (74, 0.57,    {0: 5, 1: 50, 2: 0, 3: 45, 4: 1, 5: 2, 6: 2, 7: 1, 8: 2, 9: 3, 10: 4})
167 | (223, 2.40,   {0: 24, 1: 41, 2: 0, 3: 94, 4: 99, 5: 1, 6: 0, 7: 5, 8: 3, 9: 1, 10: 0})
168 | (260, 2.82,   {0: 92, 1: 1, 2: 0, 3: 0, 4: 37, 5: 90, 6: 40, 7: 1, 8: 1, 9: 1, 10: 0})
169 | (229, 0.15,   {0: 192, 1: 67, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1, 8: 1, 9: 1, 10: 0})
170 | (228, 2.89,   {0: 0, 1: 15, 2: 0, 3: 93, 4: 101, 5: 30, 6: 2, 7: 0, 8: 4, 9: 1, 10: 1})
171 | (250, 2.54,   {0: 77, 1: 0, 2: 0, 3: 47, 4: 39, 5: 76, 6: 1, 7: 8, 8: 0, 9: 5, 10: 1})
172 | (66, 0.4,     {0: 0, 1: 60, 2: 0, 3: 2, 4: 1, 5: 4, 6: 0, 7: 2, 8: 4, 9: 11, 10: 1})
173 | (207, 1.64,   {0: 94, 1: 0, 2: 22, 3: 0, 4: 96, 5: 3, 6: 13, 7: 5, 8: 1, 9: 0, 10: 1})
174 | (282, 2.20,   {0: 0, 1: 92, 2: 0, 3: 190, 4: 0, 5: 0, 6: 0, 7: 1, 8: 1, 9: 0, 10: 0})
